configuration,m,L,Alpha,beta_excel,beta_paper,coef_of_var,demand_type,ppo_setting,name,timesteps,net_arch,lr_start,lr_end,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_start,clip_end,ent_coef,vf_coef,max_grad_norm
1,3,1,0.0,0.0,1.0,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
2,3,1,0.0,0.1,0.9,0.8,beta_binomial,E,auto_359,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5
3,3,1,0.0,0.2,0.8,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
4,3,1,0.0,0.3,0.7,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
5,3,1,0.0,0.4,0.6,0.8,beta_binomial,G,auto_421,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
6,3,1,0.0,0.5,0.5,0.8,beta_binomial,H,auto_448,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5
7,3,1,0.1,0.0,1.0,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
8,3,1,0.1,0.1,0.9,0.8,beta_binomial,G,auto_421,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
9,3,1,0.1,0.2,0.8,0.8,beta_binomial,D,auto_306,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5
10,3,1,0.1,0.3,0.7,0.8,beta_binomial,G,auto_421,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
11,3,1,0.1,0.4,0.6,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
12,3,1,0.1,0.5,0.5,0.8,beta_binomial,H,auto_448,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5
13,3,1,0.2,0.0,1.0,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
14,3,1,0.2,0.1,0.9,0.8,beta_binomial,D,auto_306,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5
15,3,1,0.2,0.2,0.8,0.8,beta_binomial,H,auto_448,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5
16,3,1,0.2,0.3,0.7,0.8,beta_binomial,D,auto_306,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5
17,3,1,0.2,0.4,0.6,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
18,3,1,0.2,0.5,0.5,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
19,3,1,0.3,0.0,1.0,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
20,3,1,0.3,0.1,0.9,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
21,3,1,0.3,0.2,0.8,0.8,beta_binomial,G,auto_421,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
22,3,1,0.3,0.3,0.7,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
23,3,1,0.3,0.4,0.6,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
24,3,1,0.3,0.5,0.5,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
25,3,1,0.4,0.0,1.0,0.8,beta_binomial,H,auto_448,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5
26,3,1,0.4,0.1,0.9,0.8,beta_binomial,D,auto_306,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5
27,3,1,0.4,0.2,0.8,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
28,3,1,0.4,0.3,0.7,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
29,3,1,0.4,0.4,0.6,0.8,beta_binomial,E,auto_359,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5
30,3,1,0.4,0.5,0.5,0.8,beta_binomial,G,auto_421,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
31,3,1,0.5,0.0,1.0,0.8,beta_binomial,F,auto_366,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
32,3,1,0.5,0.1,0.9,0.8,beta_binomial,E,auto_359,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5
33,3,1,0.5,0.2,0.8,0.8,beta_binomial,D,auto_306,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5
34,3,1,0.5,0.3,0.7,0.8,beta_binomial,G,auto_421,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
35,3,1,0.5,0.4,0.6,0.8,beta_binomial,D,auto_306,375000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5
36,3,1,0.5,0.5,0.5,0.8,beta_binomial,A,auto_098,375000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5
37,3,1,0.0,0.0,1.0,1.2,beta_binomial,F,auto_366,400000,"{'pi': [64, 64], 'vf': [128, 128]}",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5
38,3,1,0.0,0.1,0.9,1.2,beta_binomial,G,auto_421,400000,"{'pi': [64, 64], 'vf': [128, 128]}",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5
39,3,1,0.0,0.2,0.8,1.2,beta_binomial,E,auto_359,400000,"{'pi': [64, 64], 'vf': [64, 64]}",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5
